id,name,energy_kcal_per_100g,unit,serving_size,gtin13,image_url,product_url,source,created_at
126,brussel sprouts,46,g,100,,https://lokcal.app/images/126_brussel_sprouts.jpg,,nevo,
127,raw bulgur,340,g,50,,https://lokcal.app/images/127_raw_bulgur.jpg,,nevo,
128,custard bun,214,g,75,,https://lokcal.app/images/128_custard_bun.jpg,,nevo,
129,campari,180,g,30,,https://lokcal.app/images/129_campari.jpg,,nevo,
130,candybar av,478,g,50,,https://lokcal.app/images/130_candybar_av.jpg,,nevo,
131,kitkat candybar,520,g,42,,https://lokcal.app/images/131_kitkat_candybar.jpg,,nevo,
132,milky way candybar,448,g,53,,https://lokcal.app/images/132_milky_way_candybar.jpg,,nevo,
133,nuts candybar,497,g,50,,https://lokcal.app/images/133_nuts_candybar.jpg,,nevo,
134,snickers candybar,484,g,52,,https://lokcal.app/images/134_snickers_candybar.jpg,,nevo,
135,turkish cheese,287,g,30,,https://lokcal.app/images/135_turkish_cheese.jpg,,nevo,
136,cantaloupe melon,38,g,160,,https://lokcal.app/images/136_cantaloupe_melon.jpg,,nevo,
137,capers,43,g,100,,https://lokcal.app/images/137_capers.jpg,,nevo,
138,carambola,37,g,120,,https://lokcal.app/images/138_carambola.jpg,,nevo,
139,carrot cake,358,g,100,,https://lokcal.app/images/139_carrot_cake.jpg,,nevo,
140,cassava,142,g,100,,https://lokcal.app/images/140_cassava.jpg,,nevo,
141,cereal bar,444,g,25,,https://lokcal.app/images/141_cereal_bar.jpg,,nevo,
142,chanterelle mushrooms,16,g,100,,https://lokcal.app/images/142_chanterelle_mushrooms.jpg,,nevo,
143,cheddar cheese,415,g,28,,https://lokcal.app/images/143_cheddar_cheese.jpg,,nevo,
144,cheese 10+,187,g,28,,https://lokcal.app/images/144_cheese_10.jpg,,nevo,
145,cheese 20+,246,g,30,,https://lokcal.app/images/145_cheese_20.jpg,,nevo,
146,cheese 30+,280,g,30,,https://lokcal.app/images/146_cheese_30.jpg,,nevo,
147,cheese 35+,302,g,30,,https://lokcal.app/images/147_cheese_35.jpg,,nevo,
148,cheese 45+,357,g,28,,https://lokcal.app/images/148_cheese_45.jpg,,nevo,
149,cheese 50+,380,g,30,,https://lokcal.app/images/149_cheese_50.jpg,,nevo,
150,cumin cheese,370,g,30,,https://lokcal.app/images/150_cumin_cheese.jpg,,nevo,
151,brie cheese 60+,369,g,30,,https://lokcal.app/images/151_brie_cheese_60.jpg,,nevo,
152,cottage cheese,92,g,113,,https://lokcal.app/images/152_cottage_cheese.jpg,,nevo,
153,herb cream cheese,291,g,30,,https://lokcal.app/images/153_herb_cream_cheese.jpg,,nevo,
154,edam cheese 40+,324,g,30,,https://lokcal.app/images/154_edam_cheese_40.jpg,,nevo,
155,light fresh cheese,132,g,30,,https://lokcal.app/images/155_light_fresh_cheese.jpg,,nevo,
157,kernhem cheese 60+,443,g,28,,https://lokcal.app/images/157_kernhem_cheese_60.jpg,,nevo,
158,raw milk cheese,392,g,28,,https://lokcal.app/images/158_raw_milk_cheese.jpg,,nevo,
159,turkish sheep cheese,297,g,30,,https://lokcal.app/images/159_turkish_sheep_cheese.jpg,,nevo,
160,smoked cheese 45+,331,g,30,,https://lokcal.app/images/160_smoked_cheese_45.jpg,,nevo,
161,cheese spread 20+,137,g,15,,https://lokcal.app/images/161_cheese_spread_20.jpg,,nevo,
162,cheese spread 40+,227,g,15,,https://lokcal.app/images/162_cheese_spread_40.jpg,,nevo,
163,cheese spread 45+,231,g,30,,https://lokcal.app/images/163_cheese_spread_45.jpg,,nevo,
164,cheesecake,319,g,100,,https://lokcal.app/images/164_cheesecake.jpg,,nevo,
165,heks'n kaas cheesespread,356,g,30,,https://lokcal.app/images/165_heksn_kaas_cheesespread.jpg,,nevo,
166,cherries in syrup,63,g,100,,https://lokcal.app/images/166_cherries_in_syrup.jpg,,nevo,
167,chewing gum,280,g,3,,https://lokcal.app/images/167_chewing_gum.jpg,,nevo,
168,dried chia seeds,443,g,15,,https://lokcal.app/images/168_dried_chia_seeds.jpg,,nevo,
169,chicken fillet,109,g,100,,https://lokcal.app/images/169_chicken_fillet.jpg,,nevo,
170,chicken nuggets,277,g,95,,https://lokcal.app/images/170_chicken_nuggets.jpg,,nevo,
172,chicken thigh,147,g,120,,https://lokcal.app/images/172_chicken_thigh.jpg,,nevo,
173,chili pepper,30,g,100,,https://lokcal.app/images/173_chili_pepper.jpg,,nevo,
174,chinese cabbage,17,g,100,,https://lokcal.app/images/174_chinese_cabbage.jpg,,nevo,
